Listing...
alacritty/stable,now 0.15.1-3 amd64 [installed]
apparmor/stable,now 4.1.0-1 amd64 [installed]
apt-listchanges/stable,now 4.8 all [installed]
apt-utils/stable,now 3.0.3 amd64 [installed]
apt/stable,now 3.0.3 amd64 [installed]
base-files/stable,now 13.8+deb13u1 amd64 [installed]
base-passwd/stable,now 3.6.7 amd64 [installed]
bash-completion/stable,now 1:2.16.0-7 all [installed]
bash/stable,now 5.2.37-2+b5 amd64 [installed]
bind9-host/stable,now 1:9.20.11-4 amd64 [installed]
binutils-doc/stable,now 2.44-3 all [installed]
binutils/stable,now 2.44-3 amd64 [installed]
bison/stable,now 2:3.8.2+dfsg-1+b2 amd64 [installed]
bsdutils/stable,now 1:2.41-5 amd64 [installed]
ca-certificates/stable,now 20250419 all [installed]
chromium/stable-security,now 141.0.7390.107-1~deb13u1 amd64 [installed]
cloud-guest-utils/stable,now 0.33-1 all [installed]
coreutils/stable,now 9.7-3 amd64 [installed]
curl/stable,now 8.14.1-2 amd64 [installed]
dash/stable,now 0.5.12-12 amd64 [installed]
debconf/stable,now 1.5.91 all [installed]
debian-archive-keyring/stable,now 2025.1 all [installed]
debianutils/stable,now 5.23.2 amd64 [installed]
diffutils/stable,now 1:3.10-4 amd64 [installed]
dosfstools/stable,now 4.2-1.2 amd64 [installed]
dpkg/stable,now 1.22.21 amd64 [installed]
emacs-nox/stable,now 1:30.1+1-6 amd64 [installed]
ethtool/stable,now 1:6.14.2-1 amd64 [installed]
findutils/stable,now 4.10.0-3 amd64 [installed]
g++/stable,now 4:14.2.0-1 amd64 [installed]
gcc-14-base/stable,now 14.2.0-19 amd64 [installed]
gdb/stable,now 16.3-1 amd64 [installed]
gh/stable,now 2.46.0-3 amd64 [installed]
git/stable,now 1:2.47.3-0+deb13u1 amd64 [installed]
grep/stable,now 3.11-4 amd64 [installed]
grub-cloud-amd64/stable,now 0.1.1 amd64 [installed]
gzip/stable,now 1.13-1 amd64 [installed]
hostname/stable,now 3.25 amd64 [installed]
i3/stable,now 4.24-1 amd64 [installed]
init-system-helpers/stable,now 1.69~deb13u1 all [installed]
init/stable,now 1.69~deb13u1 amd64 [installed]
iptables/stable,now 1.8.11-2 amd64 [installed]
iputils-ping/stable,now 3:20240905-3 amd64 [installed]
less/stable,now 668-1 amd64 [installed]
